Sinner,Saint
Soft,Hard
Dry,Wet
Slow,Fast
Where's Waldo,Walter White
Superman,Batman
Ghost town,Metropolis
Puddle,Fountain
Nature,Nurture
Coca-Cola,Pepsi
Checkers,Chess
Microscope,Telescope
Jam,Jelly
Solution,Problem
Rollerskating,Skateboarding
Store bought,Homemade
Fight,Flight
Peanut,Pistachio
Dinner,Breakfast
Sour,Sweet
Heavy,Light
Introvert,Extrovert
Online,Offline
Public,Private
Analog,Digital
Manual,Automatic
Simple,Complex
Hot,Cold
Loud,Quiet
Rough,Smooth
Sharp,Dull
Sun,Moon
Day,Night
Fire,Ice
Mountain,Valley
Ocean,Desert
Forest,Plain
Urban,Rural
Interior,Exterior
North,South
East,West
Up,Down
Left,Right
Forward,Backward
Ancient,Modern
Vintage,Contemporary
Traditional,Progressive
Conservative,Liberal
Rigid,Flexible
Formal,Casual
Work,Play
Business,Pleasure
Serious,Humorous
Tragedy,Comedy
Reality,Fantasy
Science,Magic
Logic,Intuition
Fact,Opinion
Concrete,Abstract
Literal,Figurative
Explicit,Implicit
Direct,Indirect
Open,Closed
Fixed,Variable
Static,Dynamic
Passive,Active
Beginning,End
First,Last
Leader,Follower
Teacher,Student
Parent,Child
Friend,Foe
Ally,Enemy
Hero,Villain
Protagonist,Antagonist
Creator,Destroyer
Producer,Consumer
Seller,Buyer
Host,Guest
Native,Foreign
Local,Global
Individual,Collective
Personal,Universal
Specific,General
Unique,Common
Rare,Abundant
Scarce,Plentiful
Deficit,Surplus
Loss,Gain
Failure,Success
Defeat,Victory
Pain,Pleasure
Sickness,Health
Death,Life
War,Peace
Chaos,Order
Random,Planned
Accidental,Intentional
Spontaneous,Calculated
Impulsive,Deliberate
Risky,Safe
Dangerous,Secure
Fragile,Sturdy
Temporary,Permanent
Short-term,Long-term
Brief,Extended
Narrow,Wide
Shallow,Deep
Empty,Full
Hollow,Solid
Transparent,Opaque
Clear,Cloudy
Clean,Dirty
Pure,Contaminated
Fresh,Stale
New,Old
Young,Elderly
Raw,Cooked
Natural,Artificial
Organic,Synthetic
Handmade,Mass-produced
Artisanal,Industrial
Original,Copy
Authentic,Fake
Genuine,Counterfeit
Real,Imaginary
True,False
Correct,Incorrect
Right,Wrong
Good,Evil
Virtue,Vice
Benefit,Harm
Constructive,Destructive
Positive,Negative
Optimistic,Pessimistic
Hope,Despair
Joy,Sorrow
Love,Hate
Attraction,Repulsion
Acceptance,Rejection
Agreement,Disagreement
Unity,Division
Same,Different
Similar,Contrasting
Compatible,Incompatible
Convergent,Divergent
Objective,Subjective
Rational,Emotional
Thought,Feeling
Mind,Heart
Science,Art
Theory,Practice
Academic,Practical
Knowledge,Wisdom
Intelligence,Creativity
Discipline,Freedom
Control,Chaos
Restraint,Indulgence
Moderation,Excess
Minimalist,Maximalist
Less,More
Quality,Quantity
Subtle,Obvious
